1,1000,-142.17504875183104
2,2000,-137.10589602661133
3,3000,-128.2162756576538
4,4000,-117.61033149719238
5,5000,-106.21796186065674
6,6000,-94.34689036560059
7,7000,-82.25000593566895
8,8000,-70.23403551864624
9,9000,-58.08155007171631
10,10000,-46.33573974609375
11,11000,-34.3107410736084
12,12000,-22.886710620880127
13,13000,-11.540077903747559
14,14000,-0.6654741516113282
15,15000,9.342832736968994
