epoch,step,min,max,mean,std
1,1000,-7.756923198699951,-7.756923198699951,-7.756923198699951,0.0
2,2000,-7.891575813293457,-7.891575813293457,-7.891575813293457,0.0
3,3000,-7.698789119720459,-7.698789119720459,-7.698789119720459,0.0
4,4000,-7.150976657867432,-7.150976657867432,-7.150976657867432,0.0
5,5000,-6.756155014038086,-6.756155014038086,-6.756155014038086,0.0
6,6000,-6.491204261779785,-6.491204261779785,-6.491204261779785,0.0
7,7000,-5.823638439178467,-5.823638439178467,-5.823638439178467,0.0
8,8000,-5.236440658569336,-5.236440658569336,-5.236440658569336,0.0
9,9000,-4.93354606628418,-4.93354606628418,-4.93354606628418,0.0
10,10000,-4.521843910217285,-4.521843910217285,-4.521843910217285,0.0
