epoch,step,min,max,mean,std
1,1000,-0.8593084812164307,-0.8593084812164307,-0.8593084812164307,0.0
2,2000,-0.4953937530517578,-0.4953937530517578,-0.4953937530517578,0.0
3,3000,-0.3121110796928406,-0.3121110796928406,-0.3121110796928406,0.0
4,4000,-0.4848892092704773,-0.4848892092704773,-0.4848892092704773,0.0
5,5000,-0.6336637139320374,-0.6336637139320374,-0.6336637139320374,0.0
6,6000,-0.5122984647750854,-0.5122984647750854,-0.5122984647750854,0.0
7,7000,-0.6894986033439636,-0.6894986033439636,-0.6894986033439636,0.0
8,8000,-0.46188920736312866,-0.46188920736312866,-0.46188920736312866,0.0
9,9000,-0.733514666557312,-0.733514666557312,-0.733514666557312,0.0
10,10000,-0.4911251366138458,-0.4911251366138458,-0.4911251366138458,0.0
11,11000,-0.4609261751174927,-0.4609261751174927,-0.4609261751174927,0.0
12,12000,-0.6234837174415588,-0.6234837174415588,-0.6234837174415588,0.0
13,13000,-0.35740959644317627,-0.35740959644317627,-0.35740959644317627,0.0
14,14000,-0.44269615411758423,-0.44269615411758423,-0.44269615411758423,0.0
15,15000,-0.4539047181606293,-0.4539047181606293,-0.4539047181606293,0.0
