epoch,step,min,max,mean,std
1,1000,-0.2859207093715668,-0.2859207093715668,-0.2859207093715668,0.0
2,2000,-0.32089030742645264,-0.32089030742645264,-0.32089030742645264,0.0
3,3000,-0.556535005569458,-0.556535005569458,-0.556535005569458,0.0
4,4000,-0.35865259170532227,-0.35865259170532227,-0.35865259170532227,0.0
5,5000,-0.39626362919807434,-0.39626362919807434,-0.39626362919807434,0.0
6,6000,-0.467584490776062,-0.467584490776062,-0.467584490776062,0.0
7,7000,-0.5338693857192993,-0.5338693857192993,-0.5338693857192993,0.0
8,8000,-0.4916303753852844,-0.4916303753852844,-0.4916303753852844,0.0
9,9000,-0.46688538789749146,-0.46688538789749146,-0.46688538789749146,0.0
10,10000,-0.39434415102005005,-0.39434415102005005,-0.39434415102005005,0.0
11,11000,-0.4772614538669586,-0.4772614538669586,-0.4772614538669586,0.0
12,12000,-0.5901883244514465,-0.5901883244514465,-0.5901883244514465,0.0
13,13000,-0.41808295249938965,-0.41808295249938965,-0.41808295249938965,0.0
14,14000,-0.3966009020805359,-0.3966009020805359,-0.3966009020805359,0.0
15,15000,-0.4122127294540405,-0.4122127294540405,-0.4122127294540405,0.0
