epoch,step,min,max,mean,std
1,1000,-0.060082390904426575,0.0639270544052124,0.0016864093486219645,0.01762022078037262
2,2000,-0.0642482340335846,0.11209887266159058,0.003194571705535054,0.025132859125733376
3,3000,-0.05400964617729187,0.12127186357975006,0.003906393423676491,0.022870266810059547
4,4000,-0.04044458642601967,0.11817892640829086,0.0030700955539941788,0.018279826268553734
5,5000,-0.04075271636247635,0.1281270980834961,0.004616808146238327,0.022818133234977722
6,6000,-0.06286907941102982,0.19054235517978668,0.004254745319485664,0.028874043375253677
7,7000,-0.02545231580734253,0.176941379904747,0.004618574399501085,0.018556103110313416
8,8000,-0.054220300167798996,0.33850881457328796,0.00505552813410759,0.03231492638587952
9,9000,-0.05163520947098732,0.2628767490386963,0.004128467291593552,0.02606187015771866
10,10000,-0.0650118738412857,0.28261008858680725,0.004779408685863018,0.026431480422616005
11,11000,-0.074284628033638,0.5410798192024231,0.007108318153768778,0.04325710982084274
12,12000,-0.06380245089530945,0.3083946406841278,0.00400903495028615,0.026518188416957855
13,13000,-0.05267692357301712,0.277037650346756,0.0033773216418921947,0.021924158558249474
14,14000,-0.07577698677778244,0.4975663423538208,0.0053495061583817005,0.037713002413511276
15,15000,-0.08268291503190994,0.45555126667022705,0.0045249140821397305,0.03326721861958504
