epoch,step,min,max,mean,std
1,1000,-0.19218367338180542,-0.19218367338180542,-0.19218367338180542,0.0
2,2000,-0.4942485988140106,-0.4942485988140106,-0.4942485988140106,0.0
3,3000,-0.513324499130249,-0.513324499130249,-0.513324499130249,0.0
4,4000,-0.5535749793052673,-0.5535749793052673,-0.5535749793052673,0.0
5,5000,-0.6360507607460022,-0.6360507607460022,-0.6360507607460022,0.0
6,6000,-0.4229390025138855,-0.4229390025138855,-0.4229390025138855,0.0
7,7000,-0.5335599780082703,-0.5335599780082703,-0.5335599780082703,0.0
8,8000,-0.5528719425201416,-0.5528719425201416,-0.5528719425201416,0.0
9,9000,-0.6475258469581604,-0.6475258469581604,-0.6475258469581604,0.0
10,10000,-0.4936748147010803,-0.4936748147010803,-0.4936748147010803,0.0
11,11000,-0.6574638485908508,-0.6574638485908508,-0.6574638485908508,0.0
12,12000,-0.6138092875480652,-0.6138092875480652,-0.6138092875480652,0.0
13,13000,-0.5915536284446716,-0.5915536284446716,-0.5915536284446716,0.0
14,14000,-0.6173846125602722,-0.6173846125602722,-0.6173846125602722,0.0
15,15000,-0.541129469871521,-0.541129469871521,-0.541129469871521,0.0
