epoch,step,min,max,mean,std
1,1000,-0.07595349848270416,0.0940132588148117,0.0030697123147547245,0.015487954020500183
2,2000,-0.04993966966867447,0.14603672921657562,0.002342302817851305,0.023117253556847572
3,3000,-0.07519131153821945,0.13942009210586548,0.0010699315462261438,0.026009561493992805
4,4000,-0.0632147416472435,0.09788501262664795,0.0005115321837365627,0.019981415942311287
5,5000,-0.18052195012569427,0.19741584360599518,0.002023302251473069,0.0396217480301857
6,6000,-0.13070717453956604,0.1975376307964325,0.0016992820892482996,0.03701631352305412
7,7000,-0.11017170548439026,0.09070251882076263,8.700764738023281e-05,0.024482030421495438
8,8000,-0.12465622276067734,0.16509008407592773,0.0013569345464929938,0.03926195204257965
9,9000,-0.1326003074645996,0.14820152521133423,0.0027538002468645573,0.03618641197681427
10,10000,-0.17302758991718292,0.21347874402999878,9.275891352444887e-05,0.04424869269132614
11,11000,-0.1512129008769989,0.19717028737068176,0.002078449120745063,0.04759340360760689
12,12000,-0.13479439914226532,0.15211306512355804,0.0018994640558958054,0.04215102270245552
13,13000,-0.2404322773218155,0.2270870953798294,0.0008879579836502671,0.05703042447566986
14,14000,-0.08835668116807938,0.14426392316818237,0.0012897276319563389,0.03140084445476532
15,15000,-0.29850438237190247,0.250954806804657,0.0030865827575325966,0.06667859852313995
