epoch,step,min,max,mean,std
1,1000,-0.6568825244903564,-0.6568825244903564,-0.6568825244903564,0.0
2,2000,-0.40110641717910767,-0.40110641717910767,-0.40110641717910767,0.0
3,3000,-0.39453738927841187,-0.39453738927841187,-0.39453738927841187,0.0
4,4000,-0.6954419016838074,-0.6954419016838074,-0.6954419016838074,0.0
5,5000,-0.4651843011379242,-0.4651843011379242,-0.4651843011379242,0.0
6,6000,-0.5719159245491028,-0.5719159245491028,-0.5719159245491028,0.0
7,7000,-0.5455152988433838,-0.5455152988433838,-0.5455152988433838,0.0
8,8000,-0.4447365999221802,-0.4447365999221802,-0.4447365999221802,0.0
9,9000,-0.5246343016624451,-0.5246343016624451,-0.5246343016624451,0.0
10,10000,-0.46004238724708557,-0.46004238724708557,-0.46004238724708557,0.0
11,11000,-0.3917660415172577,-0.3917660415172577,-0.3917660415172577,0.0
12,12000,-0.6013336181640625,-0.6013336181640625,-0.6013336181640625,0.0
13,13000,-0.5328548550605774,-0.5328548550605774,-0.5328548550605774,0.0
14,14000,-0.635520339012146,-0.635520339012146,-0.635520339012146,0.0
15,15000,-0.4830000400543213,-0.4830000400543213,-0.4830000400543213,0.0
