epoch,step,min,max,mean,std
1,1000,-0.04962100088596344,0.0941181480884552,8.221522875828668e-05,0.00725157605484128
2,2000,-0.39171525835990906,0.34829726815223694,0.0014494663337245584,0.030586563050746918
3,3000,-0.2973533868789673,0.199789360165596,-0.0011309192050248384,0.019805723801255226
4,4000,-0.5909715294837952,0.7967545390129089,0.0005897533847019076,0.05041923746466637
5,5000,-1.1236927509307861,1.3983917236328125,-0.000674572482239455,0.0848546177148819
6,6000,-0.33121591806411743,0.26866334676742554,0.0003070490784011781,0.02925654873251915
7,7000,-0.4112774133682251,0.8263293504714966,0.0022188727743923664,0.06797263771295547
8,8000,-0.9475677609443665,1.6387085914611816,0.0005974506493657827,0.0989721417427063
9,9000,-0.45001453161239624,0.7469606995582581,0.0012797430390492082,0.05210483819246292
10,10000,-0.5193524956703186,0.2967103123664856,-0.0009860971476882696,0.03912610933184624
11,11000,-0.22271688282489777,0.3576774299144745,0.00037567203980870545,0.030713364481925964
12,12000,-0.5658472180366516,0.7062609791755676,0.002569460077211261,0.07346829026937485
13,13000,-1.4394493103027344,0.9317020177841187,-0.00027262617368251085,0.09475769102573395
14,14000,-0.3720669448375702,0.6292215585708618,0.0014813264133408666,0.04469160735607147
15,15000,-1.3379993438720703,0.6868500709533691,-0.00099061313085258,0.06767961382865906
