epoch,step,min,max,mean,std
1,1000,-0.03117503598332405,0.021751470863819122,-0.0003379504196345806,0.009124550968408585
2,2000,-0.03435102850198746,0.04807199537754059,0.0029690673109143972,0.016107551753520966
3,3000,-0.06280411779880524,0.06384288519620895,0.00353595451451838,0.02296821027994156
4,4000,-0.054165348410606384,0.0664152204990387,0.004558457061648369,0.022521324455738068
5,5000,-0.08768703788518906,0.09086019545793533,0.006083816755563021,0.03287820145487785
6,6000,-0.12154971808195114,0.12643972039222717,0.008501216769218445,0.044626861810684204
7,7000,-0.12939101457595825,0.12156305462121964,0.008999111130833626,0.0449790433049202
8,8000,-0.14460793137550354,0.13036806881427765,0.009936409071087837,0.048381056636571884
9,9000,-0.15075156092643738,0.14707161486148834,0.012289855629205704,0.054308272898197174
10,10000,-0.15143240988254547,0.15205860137939453,0.012201933190226555,0.055617474019527435
11,11000,-0.1989458054304123,0.16548657417297363,0.012785681523382664,0.06310074031352997
12,12000,-0.20839077234268188,0.18280163407325745,0.014110386371612549,0.06893790513277054
13,13000,-0.18162909150123596,0.14975011348724365,0.011919060721993446,0.05601077154278755
14,14000,-0.24360083043575287,0.19593819975852966,0.015489088371396065,0.07045193761587143
15,15000,-0.2903434932231903,0.2322854846715927,0.01695527881383896,0.08387149125337601
