epoch,step,min,max,mean,std
1,1000,-0.18967589735984802,0.17491117119789124,-8.088193135336041e-05,0.031197430565953255
2,2000,-0.15387269854545593,0.14080703258514404,0.0007371408282779157,0.026567311957478523
3,3000,-0.2951521873474121,0.29461559653282166,0.003894064575433731,0.04638707637786865
4,4000,-0.5505601167678833,0.5853227376937866,0.012464464642107487,0.09774626046419144
5,5000,-0.25161272287368774,0.27372631430625916,0.006570561323314905,0.04605890065431595
6,6000,-0.2715400755405426,0.2959734797477722,0.003424431663006544,0.04485202580690384
7,7000,-0.17024171352386475,0.17812339961528778,0.002849649405106902,0.029959870502352715
8,8000,-0.25119084119796753,0.21201637387275696,0.0012910773511976004,0.03479517996311188
9,9000,-0.45673322677612305,0.4464453160762787,0.004276835825294256,0.08448381721973419
10,10000,-0.5642208456993103,0.5309354066848755,0.0024407263845205307,0.09704142808914185
