epoch,step,min,max,mean,std
1,1000,-0.07668168097734451,0.10886626690626144,-0.004203864373266697,0.020834850147366524
2,2000,-0.07861007004976273,0.05525040999054909,-0.005556341260671616,0.018694285303354263
3,3000,-0.07497852295637131,0.03936397656798363,-0.0064914473332464695,0.0178474560379982
4,4000,-0.08253200352191925,0.04038180410861969,-0.007882010191679,0.019104639068245888
5,5000,-0.0832718014717102,0.036307986825704575,-0.008554963394999504,0.018894018605351448
6,6000,-0.09051406383514404,0.03819887712597847,-0.009816841222345829,0.02110913023352623
7,7000,-0.07108931988477707,0.025957250967621803,-0.008622569963335991,0.016898231580853462
8,8000,-0.042041197419166565,0.017296988517045975,-0.006816406734287739,0.011267028748989105
9,9000,-0.047443829476833344,0.015815304592251778,-0.007180095184594393,0.011653744615614414
10,10000,-0.041825372725725174,0.018773717805743217,-0.007069304585456848,0.011539392173290253
11,11000,-0.03015434741973877,0.012376822531223297,-0.005444398615509272,0.008306402713060379
12,12000,-0.026187308132648468,0.01206447184085846,-0.004526736680418253,0.008293814957141876
13,13000,-0.025843456387519836,0.01219254918396473,-0.0047577135264873505,0.007500260602682829
14,14000,-0.020139385014772415,0.007438196334987879,-0.003613473381847143,0.005352390930056572
15,15000,-0.019396524876356125,0.007410709280520678,-0.003237885655835271,0.0059265317395329475
