epoch,step,min,max,mean,std
1,1000,-1.1766389608383179,1.446718692779541,-0.0006788477767258883,0.14382678270339966
2,2000,-0.31775033473968506,0.4786245822906494,0.00043910372187383473,0.05201747640967369
3,3000,-0.18613946437835693,0.17927445471286774,-0.00013299292186275125,0.02633265219628811
4,4000,-0.27934855222702026,0.20403927564620972,-0.00034193441388197243,0.02320224419236183
5,5000,-0.08367907255887985,0.09885875135660172,-2.1665868189302273e-05,0.012305249460041523
6,6000,-0.07291856408119202,0.3017025887966156,0.00016181264072656631,0.010719147510826588
7,7000,-0.5331931114196777,0.1265348643064499,-0.0010192878544330597,0.021373892202973366
8,8000,-0.08174262940883636,0.12944640219211578,-6.838903937023133e-05,0.005541577469557524
9,9000,-1.0499110221862793,0.23363354802131653,-0.0010525467805564404,0.027247942984104156
10,10000,-0.681644082069397,0.21027667820453644,-0.00037192722084000707,0.01804065890610218
