epoch,step,min,max,mean,std
1,1000,-1.7141090631484985,0.00022593617904931307,-0.3370365500450134,0.28508302569389343
2,2000,-1.9418184757232666,0.00034867829526774585,-0.39304280281066895,0.3165413737297058
3,3000,-0.8983675241470337,0.0014037825167179108,-0.2335900366306305,0.17641977965831757
4,4000,-1.4500781297683716,0.0006882547168061137,-0.30545786023139954,0.23709619045257568
5,5000,-1.1948213577270508,0.0,-0.2712702751159668,0.21505266427993774
6,6000,-0.5388521552085876,0.03251180797815323,-0.1326674222946167,0.10047014057636261
7,7000,-1.624334454536438,0.0,-0.3610060214996338,0.27209988236427307
8,8000,-1.2406160831451416,0.029419422149658203,-0.27748799324035645,0.223561093211174
9,9000,-1.2301433086395264,0.0,-0.277627557516098,0.2078089714050293
10,10000,-1.181410312652588,0.0,-0.27479633688926697,0.20448853075504303
11,11000,-1.104274034500122,0.0,-0.28891482949256897,0.20303378999233246
12,12000,-1.048071026802063,0.0,-0.2611822485923767,0.1810043901205063
13,13000,-0.8339677453041077,0.0,-0.19883108139038086,0.14682205021381378
14,14000,-0.8189111948013306,0.00012317784421611577,-0.19775351881980896,0.14371885359287262
15,15000,-1.0909439325332642,0.0,-0.28315469622612,0.1967783421278
