epoch,step,min,max,mean,std
1,1000,-0.0432811975479126,0.03908606991171837,0.0006549062673002481,0.011891546659171581
2,2000,-0.05485835671424866,0.058092013001441956,0.0008753369329497218,0.019067086279392242
3,3000,-0.04294024407863617,0.041086241602897644,0.0004936278564855456,0.013038383796811104
4,4000,-0.04800108075141907,0.0512637235224247,6.291306635830551e-05,0.014095609076321125
5,5000,-0.05197792872786522,0.05545327812433243,0.000909427588339895,0.013507486321032047
6,6000,-0.039784401655197144,0.055851347744464874,0.0004980012308806181,0.016795141622424126
7,7000,-0.07944934070110321,0.08034393936395645,0.0013764190953224897,0.023309487849473953
8,8000,-0.07937993109226227,0.06629528850317001,0.00020171020878478885,0.018139848485589027
9,9000,-0.09399191290140152,0.10079557448625565,0.0017488246085122228,0.025470862165093422
10,10000,-0.0791110098361969,0.0990702211856842,0.001805249834433198,0.02222856879234314
11,11000,-0.09362207353115082,0.142006978392601,0.0028078164905309677,0.030475329607725143
12,12000,-0.0948495864868164,0.12238982319831848,0.0020501199178397655,0.024377115070819855
13,13000,-0.08665948361158371,0.13849453628063202,0.002884836168959737,0.02731933444738388
14,14000,-0.078677698969841,0.12980347871780396,0.0024520461447536945,0.025110311806201935
15,15000,-0.10117648541927338,0.13554053008556366,0.002912126714363694,0.025699816644191742
