epoch,step,min,max,mean,std
1,1000,-0.25458666682243347,0.24475890398025513,-0.0003427564224693924,0.027089226990938187
2,2000,-0.2803932726383209,0.17229726910591125,0.00010453124559717253,0.023805629462003708
3,3000,-0.1543748676776886,0.19668090343475342,-0.0006630970165133476,0.024643249809741974
4,4000,-0.1878046840429306,0.2037142515182495,0.00012853494263254106,0.025204308331012726
5,5000,-0.37866923213005066,0.21730075776576996,-0.0011372368317097425,0.0330871120095253
6,6000,-0.26964086294174194,0.25245052576065063,-0.0007460800698027015,0.03599778935313225
7,7000,-0.25975915789604187,0.17444178462028503,-0.0014998059486970305,0.030737509950995445
8,8000,-0.15905159711837769,0.13672170042991638,-0.0006122335908003151,0.020347263664007187
9,9000,-0.5918632745742798,0.34941962361335754,-0.0004920022911392152,0.047067008912563324
10,10000,-0.7224242687225342,0.18652282655239105,-0.00037419397267512977,0.027130652219057083
11,11000,-0.4109076261520386,1.6616451740264893,0.0023581674322485924,0.055207327008247375
12,12000,-0.3582991361618042,0.2616499662399292,9.901228622766212e-06,0.02964247576892376
13,13000,-0.5892340540885925,0.39500510692596436,-0.0010303141316398978,0.050764020532369614
14,14000,-0.1890251338481903,0.6585884690284729,0.00044958243961445987,0.03443411737680435
15,15000,-0.18100863695144653,0.36377307772636414,0.0007223192369565368,0.02532798983156681
