epoch,step,min,max,mean,std
1,1000,-0.015012133866548538,0.022055741399526596,-8.712456292414572e-06,0.0012242688098922372
2,2000,-0.1798962652683258,0.10461095720529556,-1.5414001609315164e-05,0.007095240987837315
3,3000,-0.10459048300981522,0.06656008213758469,-0.00010530660074437037,0.00458406051620841
4,4000,-0.047171276062726974,0.04418594017624855,1.2149611393397208e-05,0.0029084740672260523
5,5000,-0.1478881537914276,0.08965785056352615,-0.0001208342146128416,0.006268610246479511
6,6000,-0.021118775010108948,0.03680557385087013,3.770778391753993e-07,0.00192269345279783
7,7000,-0.021812088787555695,0.02449961192905903,-5.320137279340997e-05,0.0015597555320709944
8,8000,-0.0208011195063591,0.007431472185999155,-4.077380435774103e-05,0.001124332076869905
9,9000,-0.1058955192565918,0.07112228870391846,9.112581756198779e-05,0.004940673243254423
10,10000,-0.010761851444840431,0.0200306698679924,3.0043438528082334e-06,0.001107772346585989
