epoch,step,min,max,mean,std
1,1000,-0.042666956782341,0.05099249258637428,0.006900971755385399,0.03454483300447464
2,2000,-0.02905964106321335,0.04016473516821861,0.013342018239200115,0.027839407324790955
3,3000,-0.05371776968240738,0.10796602070331573,0.012380600906908512,0.059056688100099564
4,4000,-0.04636485129594803,0.03097483702003956,-0.012046728283166885,0.027993297204375267
5,5000,-0.0019946079701185226,0.06773564219474792,0.02234696038067341,0.026839368045330048
6,6000,-0.07325039058923721,0.011091510765254498,-0.022336136549711227,0.03516340255737305
7,7000,-0.007808845490217209,-0.00013231392949819565,-0.004031059797853231,0.0034615378826856613
8,8000,-0.03237725794315338,0.008284084498882294,-0.011283336207270622,0.018709072843194008
9,9000,-0.02063547819852829,0.007679149974137545,-0.006230008788406849,0.010969926603138447
10,10000,-0.01510990783572197,0.004892735742032528,-0.0062625827267766,0.008200153708457947
11,11000,-0.0007183068664744496,0.013036799617111683,0.004011049866676331,0.005317713599652052
12,12000,-0.009152661077678204,0.011506050825119019,-0.0012235105969011784,0.007700921501964331
13,13000,-0.010838408023118973,0.012099536135792732,-0.001824903767555952,0.008899283595383167
14,14000,-0.0007575610652565956,0.009323201142251492,0.004386890679597855,0.003572560381144285
15,15000,-0.010190804488956928,0.0009650744032114744,-0.0039133066311478615,0.004118494223803282
