epoch,step,min,max,mean,std
1,1000,-4.131394863128662,8.40956974029541,-0.22594168782234192,1.3600144386291504
2,2000,-6.316666126251221,4.497165679931641,0.09661126136779785,1.0605050325393677
3,3000,-4.230251789093018,1.9160879850387573,-0.41741907596588135,0.7013023495674133
4,4000,-5.123659610748291,5.794672012329102,-0.138813316822052,1.241300106048584
5,5000,-1.6281949281692505,5.209755897521973,0.3686167299747467,0.8866028785705566
6,6000,-1.5466971397399902,4.338291168212891,0.4077162742614746,0.7357919812202454
7,7000,-3.969672441482544,7.002214431762695,0.25371819734573364,1.1722626686096191
8,8000,-1.0391883850097656,1.2211394309997559,-0.0008586859330534935,0.29200679063796997
9,9000,-1.0799431800842285,3.545308828353882,0.1491556018590927,0.5092529058456421
10,10000,-1.1473932266235352,4.456001281738281,0.33248481154441833,0.7138605713844299
